gender,age,height,weight,isOverweight,ageGroup
M,83,71,147,False,80 - 90
F,32,72,44,True,30 - 40
M,69,73,110,True,60 - 70
F,99,112,65,True,90 - 100
F,47,61,130,True,40 - 50
M,93,65,134,True,90 - 100
M,79,105,106,True,70 - 80
F,32,108,47,False,30 - 40
M,95,172,45,False,90 - 100
F,42,187,20,True,40 - 50
M,55,158,153,False,50 - 60
M,8,54,21,True,0 - 10
F,1,190,126,True,0 - 10
F,40,111,122,True,40 - 50
F,9,71,178,True,0 - 10
M,64,137,93,False,60 - 70
F,69,172,63,False,60 - 70
F,70,76,43,False,70 - 80
M,44,65,161,True,40 - 50
F,19,165,192,True,10 - 20
M,56,58,163,True,50 - 60
F,82,102,192,True,80 - 90
F,38,139,157,True,30 - 40
F,31,151,173,False,30 - 40
M,44,196,182,True,40 - 50
F,27,98,107,True,20 - 30
M,48,176,137,False,40 - 50
F,41,148,137,True,40 - 50
F,55,94,45,False,50 - 60
M,30,129,25,True,30 - 40
